stateid,monthid,dose1,dose2
AN,1,3340,104
AN,2,8779,2879
AN,3,49197,3340
AN,4,38719,8807
AN,5,17487,264
AN,6,61226,56982
AN,7,53938,24911
AP,1,324825,16789
AP,2,714330,251594
AP,3,2964098,327870
AP,4,1480288,1580346
AP,5,4277950,464061
AP,6,4476702,1247071
AP,7,4273732,2597481
AR,1,13545,1505
AR,2,33164,10956
AR,3,71833,20217
AR,4,70657,37612
AR,5,97835,1272
AR,6,246416,42500
AR,7,72450,57080
AS,1,124363,3660
AS,2,388831,89659
AS,3,769390,188150
AS,4,1387119,449923
AS,5,1314128,236239
AS,6,3089171,502577
AS,7,4356650,972692
BR,1,467582,13264
BR,2,787095,322616
BR,3,3517272,315491
BR,4,2529078,1039631
BR,5,2969363,241048
BR,6,6574278,1003472
BR,7,8319743,1923745
CH,1,7094,118
CH,2,36272,7372
CH,3,71314,16856
CH,4,97460,49340
CH,5,130798,2420
CH,6,182923,53092
CH,7,207598,115153
CT,1,270792,5266
CT,2,619402,229901
CT,3,3388825,234388
CT,4,782092,611079
CT,5,114452,87232
CT,6,2592555,739196
CT,7,1614353,868819
DL,1,191999,4140
DL,2,344974,147848
DL,3,1527830,286388
DL,4,1479155,619994
DL,5,1174471,430598
DL,6,2304333,674283
DL,7,1227348,1101750
DN,1,4324,78
DN,2,12078,3806
DN,3,54203,6964
DN,4,24131,15039
DN,5,157697,611
DN,6,246669,38017
DN,7,99255,25906
GA,1,13892,337
GA,2,54657,12778
GA,3,113975,29277
GA,4,162041,51874
GA,5,233310,4598
GA,6,382554,96539
GA,7,152336,134506
GJ,1,616078,6969
GJ,2,1097663,425476
GJ,3,5447565,703217
GJ,4,2107389,2068424
GJ,5,4268016,713480
GJ,6,4684952,1629980
GJ,7,6357535,2560264
HP,1,78882,1868
HP,2,131024,70312
HP,3,902628,56675
HP,4,675206,303972
HP,5,434809,3467
HP,6,1272803,541833
HP,7,1455235,535568
HR,1,183248,2904
HR,2,391566,116856
HR,3,2080977,179696
HR,4,1361502,618734
HR,5,1842956,171735
HR,6,2505058,801650
HR,7,2124935,1299930
JH,1,215387,4142
JH,2,337802,178752
JH,3,1797984,147338
JH,4,567573,335852
JH,5,1525941,164731
JH,6,2175106,567839
JH,7,2177784,736277
JK,1,133922,1663
JK,2,284173,83045
JK,3,903485,137681
JK,4,999663,310775
JK,5,872809,54809
JK,6,1258008,323154
JK,7,1093720,662305
KA,1,426537,11140
KA,2,1006464,338765
KA,3,4643831,308976
KA,4,2626905,1762961
KA,5,5233316,555632
KA,6,6848082,1877503
KA,7,4880111,2757429
KL,1,352259,3323
KL,2,867400,316976
KL,3,3819467,319008
KL,4,1413330,1358036
KL,5,2853032,330904
KL,6,2548956,2175884
KL,7,5425566,2153682
LA,1,2878,127
LA,2,33510,3573
LA,3,30608,6263
LA,4,19640,27289
LA,5,69282,151
LA,6,28713,24500
LA,7,4895,10922
LD,1,1559,0
LD,2,1767,1144
LD,3,10187,1773
LD,4,7943,3893
LD,5,20014,303
LD,6,7294,5251
LD,7,2898,5511
MH,1,676884,4527
MH,2,1826531,496032
MH,3,8149761,726369
MH,4,5097931,3001723
MH,5,5483022,1055883
MH,6,8483354,3260252
MH,7,6660139,4268906
ML,1,14917,251
ML,2,48449,15705
ML,3,60610,27499
ML,4,205604,30606
ML,5,126276,719
ML,6,302597,36766
ML,7,210245,145813
MN,1,23963,284
MN,2,48994,14594
MN,3,26743,33827
MN,4,207704,21022
MN,5,169072,1898
MN,6,400179,26018
MN,7,297050,168707
MP,1,556517,5
MP,2,791668,411575
MP,3,5035252,311180
MP,4,1080412,968530
MP,5,5024659,306266
MP,6,8530833,1989169
MP,7,10635861,2106903
MZ,1,8036,122
MZ,2,30651,7418
MZ,3,48351,14584
MZ,4,85730,15814
MZ,5,52447,1043
MZ,6,210521,44252
MZ,7,44942,73474
NL,1,10970,310
NL,2,32821,12517
NL,3,63291,17618
NL,4,75130,21339
NL,5,126923,721
NL,6,225439,56612
NL,7,104711,58823
OR,1,367242,6416
OR,2,683264,298566
OR,3,3151330,281708
OR,4,1052340,818701
OR,5,2245942,277222
OR,6,3587327,1241482
OR,7,3918792,1550829
PB,1,95814,1028
PB,2,264014,74594
PB,3,1706630,118934
PB,4,1426656,512663
PB,5,957281,119747
PB,6,1907937,636854
PB,7,2047348,1054813
PY,1,5692,190
PY,2,24832,4082
PY,3,114080,8600
PY,4,38908,37631
PY,5,102595,2993
PY,6,224072,70220
PY,7,106007,33520
RJ,1,554324,8037
RJ,2,2279057,535438
RJ,3,5853127,698159
RJ,4,2747895,1556817
RJ,5,4062088,315446
RJ,6,5388041,1673936
RJ,7,5897633,3603706
SK,1,8245,0
SK,2,37710,8546
SK,3,89528,11205
SK,4,31072,39843
SK,5,75973,244
SK,6,212940,70770
SK,7,45354,27434
TG,1,219378,11479
TG,2,310788,204687
TG,3,1916995,138271
TG,4,2002387,709273
TG,5,2529063,290738
TG,6,3782961,846090
TG,7,1311652,1951576
TN,1,187096,956
TN,2,1101671,137193
TN,3,2328127,374954
TN,4,1098720,1247218
TN,5,3612049,251355
TN,6,5750307,1023060
TN,7,5676373,1478441
TR,1,66880,1510
TR,2,104560,57343
TR,3,584861,47200
TR,4,229443,400714
TR,5,200004,13520
TR,6,940180,162131
TR,7,307662,144368
UP,1,953211,19788
UP,2,1610542,722334
UP,3,6412106,817869
UP,4,2746387,1700469
UP,5,8271265,615340
UP,6,13213258,2431681
UP,7,15039284,2872662
UT,1,117599,1651
UT,2,196787,100681
UT,3,976615,125385
UT,4,691018,452839
UT,5,722747,33272
UT,6,1287034,386257
UT,7,1503546,622369
WB,1,460147,4751
WB,2,1693177,371485
WB,3,4265764,600896
WB,4,1319635,2224940
WB,5,4499456,340579
WB,6,3773601,2497411
WB,7,5658472,2051815
