State,vaccineratio
Delhi,3.29611
Telangana,4.27799
Andhra Pradesh,5.39331
Jharkhand,5.4644
Tamil Nadu,6.08709
Odisha,6.45179
Haryana,6.61798
Maharashtra,6.78135
West Bengal,6.98046
Karnataka,7.09188
Rajasthan,7.1894
Punjab,7.20037
Uttar Pradesh,7.40845
Chhattisgarh,7.5872
Assam,7.90244
Bihar,7.97301
Madhya Pradesh,8.11068
Gujarat,8.3658
Kerala,9.07232
Uttarakhand,13.50944
Jammu and Kashmir,21.78864
Tripura,47.34007
Goa,53.93269
Chandigarh,227.01615
Himachal Pradesh,2047.41002
Puducherry,11154.45946
Dadra and Nagar Haveli and Daman and Diu,16133.65957
Sikkim,inf
Andaman and Nicobar Islands,inf
Mizoram,inf
Meghalaya,inf
Manipur,inf
Lakshadweep,inf
Arunachal Pradesh,inf
Nagaland,inf
Ladakh,inf
